# -*- coding: utf-8 -*-,,,,,,,,
,,,,,,,,
# A datafile created by Gustav!,,,,,,,,
# ,,,,,,,,
# Experiment: lateralization-matching,,,,,,,,
# ,,,,,,,,
,,,,,,,,
S,Trial,Date,Block,Condition,cue,location,Stim,Resp
latmatch3,7,2024-09-20,7,2,ild,-500,$user[az],-38.0440687276833
latmatch3,8,2024-09-20,8,5,ild,-100,$user[az],-80.7217627491073
latmatch3,9,2024-09-20,9,11,ild,500,$user[az],90
latmatch3,10,2024-09-20,10,12,ild,800,$user[az],90
latmatch3,11,2024-09-20,11,6,ild,-50,$user[az],-13.917355876339
latmatch3,12,2024-09-20,12,9,ild,200,$user[az],41.752067629017
latmatch3,13,2024-09-20,13,3,ild,-400,$user[az],-15.7741019928587
latmatch3,14,2024-09-20,14,5,ild,-100,$user[az],-2.78237250892667
latmatch3,15,2024-09-20,15,1,ild,-800,$user[az],-47.322305978576
latmatch3,16,2024-09-20,16,12,ild,800,$user[az],71.4435254982147
latmatch3,17,2024-09-20,17,11,ild,500,$user[az],21.338847010712
latmatch3,18,2024-09-20,18,4,ild,-200,$user[az],73.3002716147343
latmatch3,19,2024-09-20,19,2,ild,-500,$user[az],-39.900814844203
latmatch3,20,2024-09-20,20,9,ild,200,$user[az],80.7217627491073
latmatch3,21,2024-09-20,21,8,ild,100,$user[az],15.7741019928587
latmatch3,22,2024-09-20,22,6,ild,-50,$user[az],-4.63911862544633
latmatch3,23,2024-09-20,23,7,ild,50,$user[az],25.0523392437513
latmatch3,24,2024-09-20,24,10,ild,400,$user[az],26.909085360271
latmatch3,25,2024-09-20,25,3,ild,-400,$user[az],-49.1790520950957
latmatch3,26,2024-09-20,26,2,ild,-500,$user[az],-47.322305978576
latmatch3,27,2024-09-20,27,11,ild,500,$user[az],77.0137638477737
latmatch3,28,2024-09-20,28,7,ild,50,$user[az],17.6308481093783
latmatch3,29,2024-09-20,29,1,ild,-800,$user[az],-56.6005432294687
latmatch3,30,2024-09-20,30,5,ild,-100,$user[az],-13.917355876339
latmatch3,31,2024-09-20,31,8,ild,100,$user[az],32.4738303781243
latmatch3,32,2024-09-20,32,9,ild,200,$user[az],71.4435254982147
latmatch3,33,2024-09-20,33,10,ild,400,$user[az],38.0440687276833
latmatch3,34,2024-09-20,34,12,ild,800,$user[az],71.4435254982147
latmatch3,35,2024-09-20,35,4,ild,-200,$user[az],-12.0606097598193
latmatch3,36,2024-09-20,36,6,ild,-50,$user[az],4.63911862544634
latmatch3,37,2024-09-20,37,6,ild,-50,$user[az],-10.2038636432997
latmatch3,38,2024-09-20,38,3,ild,-400,$user[az],-73.3002716147343
latmatch3,39,2024-09-20,39,5,ild,-100,$user[az],8.35261085848568
latmatch3,40,2024-09-20,40,11,ild,500,$user[az],34.330576494644
latmatch3,41,2024-09-20,41,2,ild,-500,$user[az],-86.2920010986664
latmatch3,42,2024-09-20,42,1,ild,-800,$user[az],-54.743797112949
latmatch3,43,2024-09-20,43,9,ild,200,$user[az],38.0440687276833
latmatch3,44,2024-09-20,44,8,ild,100,$user[az],73.3002716147343
latmatch3,45,2024-09-20,45,4,ild,-200,$user[az],-75.157017731254
latmatch3,46,2024-09-20,46,10,ild,400,$user[az],60.3085421308023
latmatch3,47,2024-09-20,47,7,ild,50,$user[az],8.35261085848568
latmatch3,48,2024-09-20,48,12,ild,800,$user[az],41.752067629017
latmatch3,49,2024-09-20,49,3,ild,-400,$user[az],-64.0220343638417
latmatch3,50,2024-09-20,50,1,ild,-800,$user[az],-119.696951200903
latmatch3,51,2024-09-20,51,9,ild,200,$user[az],60.3085421308023
latmatch3,52,2024-09-20,52,4,ild,-200,$user[az],-17.6308481093783
latmatch3,53,2024-09-20,53,5,ild,-100,$user[az],-0.925626392406997
latmatch3,54,2024-09-20,54,11,ild,500,$user[az],90
latmatch3,55,2024-09-20,55,8,ild,100,$user[az],8.35261085848568
latmatch3,56,2024-09-20,56,2,ild,-500,$user[az],-34.330576494644
latmatch3,57,2024-09-20,57,10,ild,400,$user[az],23.1955931272317
latmatch3,58,2024-09-20,58,7,ild,50,$user[az],6.495864741966
latmatch3,59,2024-09-20,59,12,ild,800,$user[az],23.1955931272317
latmatch3,60,2024-09-20,60,6,ild,-50,$user[az],-12.0606097598193
latmatch3,61,2024-09-20,61,10,ild,400,$user[az],25.0523392437513
latmatch3,62,2024-09-20,62,9,ild,200,$user[az],30.6170842616047
latmatch3,63,2024-09-20,63,8,ild,100,$user[az],60.3085421308023
latmatch3,64,2024-09-20,64,3,ild,-400,$user[az],-43.6088137455367
latmatch3,65,2024-09-20,65,7,ild,50,$user[az],4.63911862544634
latmatch3,66,2024-09-20,66,4,ild,-200,$user[az],-32.4738303781243
latmatch3,67,2024-09-20,67,1,ild,-800,$user[az],-78.8705099642934
latmatch3,68,2024-09-20,68,11,ild,500,$user[az],32.4738303781243
latmatch3,69,2024-09-20,69,2,ild,-500,$user[az],-75.157017731254
latmatch3,70,2024-09-20,70,6,ild,-50,$user[az],90
latmatch3,71,2024-09-20,71,12,ild,800,$user[az],90
latmatch3,72,2024-09-20,72,5,ild,-100,$user[az],-10.2038636432997
latpilot4,1,2024-09-23,1,9,ild,200,$user[az],54.743797112949
latpilot4,2,2024-09-23,2,12,ild,800,$user[az],90
latpilot4,3,2024-09-23,3,11,ild,500,$user[az],49.1790520950957
latpilot4,4,2024-09-23,4,3,ild,-400,$user[az],-45.4655598620563
latpilot4,5,2024-09-23,5,4,ild,-200,$user[az],-32.4738303781243
latpilot4,6,2024-09-23,6,6,ild,-50,$user[az],0.925626392406983
latpilot4,7,2024-09-23,7,1,ild,-800,$user[az],-90
latpilot4,8,2024-09-23,8,2,ild,-500,$user[az],-45.4655598620563
latpilot4,9,2024-09-23,9,5,ild,-100,$user[az],8.35261085848568
latpilot4,10,2024-09-23,10,7,ild,50,$user[az],13.917355876339
latpilot4,11,2024-09-23,11,8,ild,100,$user[az],15.7741019928587
latpilot4,12,2024-09-23,12,10,ild,400,$user[az],78.8705099642934
latpilot4,13,2024-09-23,13,9,ild,200,$user[az],71.4435254982147
latpilot4,14,2024-09-23,14,2,ild,-500,$user[az],-25.0523392437513
latpilot4,15,2024-09-23,15,12,ild,800,$user[az],47.322305978576
latpilot4,16,2024-09-23,16,3,ild,-400,$user[az],-38.0440687276833
latpilot4,17,2024-09-23,17,8,ild,100,$user[az],17.6308481093783
latpilot4,18,2024-09-23,18,5,ild,-100,$user[az],-0.925626392406997
latpilot4,19,2024-09-23,19,6,ild,-50,$user[az],-8.35261085848568
latpilot4,20,2024-09-23,20,4,ild,-200,$user[az],-75.157017731254
latpilot4,21,2024-09-23,21,10,ild,400,$user[az],73.3002716147343
latpilot4,22,2024-09-23,22,11,ild,500,$user[az],65.8787804803613
latpilot4,23,2024-09-23,23,7,ild,50,$user[az],0.925626392406983
latpilot4,24,2024-09-23,24,1,ild,-800,$user[az],-58.4572893459883
latpilot4,25,2024-09-23,25,3,ild,-400,$user[az],-90
latpilot4,26,2024-09-23,26,10,ild,400,$user[az],78.8705099642934
latpilot4,27,2024-09-23,27,2,ild,-500,$user[az],-78.8705099642934
latpilot4,28,2024-09-23,28,7,ild,50,$user[az],39.900814844203
latpilot4,29,2024-09-23,29,1,ild,-800,$user[az],-58.4572893459883
latpilot4,30,2024-09-23,30,6,ild,-50,$user[az],0.925626392406983
latpilot4,31,2024-09-23,31,11,ild,500,$user[az],90
latpilot4,32,2024-09-23,32,9,ild,200,$user[az],45.4655598620564
latpilot4,33,2024-09-23,33,12,ild,800,$user[az],90
latpilot4,34,2024-09-23,34,8,ild,100,$user[az],30.6170842616047
latpilot4,35,2024-09-23,35,5,ild,-100,$user[az],-13.917355876339
latpilot4,36,2024-09-23,36,4,ild,-200,$user[az],-49.1790520950957
latpilot4,37,2024-09-23,37,3,ild,-400,$user[az],-26.909085360271
latpilot4,38,2024-09-23,38,1,ild,-800,$user[az],-90
latpilot4,39,2024-09-23,39,12,ild,800,$user[az],45.4655598620564
latpilot4,40,2024-09-23,40,6,ild,-50,$user[az],2.78237250892667
latpilot4,41,2024-09-23,41,4,ild,-200,$user[az],-13.917355876339
latpilot4,42,2024-09-23,42,11,ild,500,$user[az],90
latpilot4,43,2024-09-23,43,8,ild,100,$user[az],28.7658314767907
latpilot4,44,2024-09-23,44,9,ild,200,$user[az],71.4435254982147
latpilot4,45,2024-09-23,45,10,ild,400,$user[az],39.900814844203
latpilot4,46,2024-09-23,46,2,ild,-500,$user[az],-26.909085360271
latpilot4,47,2024-09-23,47,5,ild,-100,$user[az],-8.35261085848568
latpilot4,48,2024-09-23,48,7,ild,50,$user[az],10.2038636432997
latpilot4,49,2024-09-23,49,3,ild,-400,$user[az],-26.909085360271
latpilot4,50,2024-09-23,50,11,ild,500,$user[az],47.322305978576
latpilot4,51,2024-09-23,51,7,ild,50,$user[az],-2.78237250892667
latpilot4,52,2024-09-23,52,10,ild,400,$user[az],58.4572893459883
latpilot4,53,2024-09-23,53,5,ild,-100,$user[az],-2.78237250892667
latpilot4,54,2024-09-23,54,12,ild,800,$user[az],80.7217627491073
latpilot4,55,2024-09-23,55,1,ild,-800,$user[az],-71.4435254982147
latpilot4,56,2024-09-23,56,6,ild,-50,$user[az],0.925626392406983
latpilot4,57,2024-09-23,57,2,ild,-500,$user[az],-43.6088137455367
latpilot4,58,2024-09-23,58,4,ild,-200,$user[az],-30.6170842616047
latpilot4,59,2024-09-23,59,9,ild,200,$user[az],82.578508865627
latpilot4,60,2024-09-23,60,8,ild,100,$user[az],30.6170842616047
latpilot4,61,2024-09-23,61,10,ild,400,$user[az],21.338847010712
latpilot4,62,2024-09-23,62,1,ild,-800,$user[az],-65.8787804803613
latpilot4,63,2024-09-23,63,11,ild,500,$user[az],75.157017731254
latpilot4,64,2024-09-23,64,3,ild,-400,$user[az],-32.4738303781243
latpilot4,65,2024-09-23,65,7,ild,50,$user[az],2.78237250892667
latpilot4,66,2024-09-23,66,4,ild,-200,$user[az],-67.735526596881
latpilot4,67,2024-09-23,67,8,ild,100,$user[az],34.330576494644
latpilot4,68,2024-09-23,68,5,ild,-100,$user[az],2.78237250892667
latpilot4,69,2024-09-23,69,2,ild,-500,$user[az],-82.578508865627
latpilot4,70,2024-09-23,70,9,ild,200,$user[az],43.6088137455367
latpilot4,71,2024-09-23,71,12,ild,800,$user[az],62.165288247322
latpilot4,72,2024-09-23,72,6,ild,-50,$user[az],-10.2038636432997
latpilot5,1,2024-09-23,1,6,ild,-50,$user[az],-10.2038636432997
