# -*- coding: utf-8 -*-

# A datafile created by Gustav!
# 
# Experiment: lateralization-localizing
# 

S,Trial,Date,Block,Condition,cue,ref_cue,ref_value,Stim,Resp
lateralization_1_ILD,4,2024-11-15,4,3,none,ild,-30,$user[az],60.30854213080232
lateralization_1_ILD,5,2024-11-15,5,6,none,ild,-5,$user[az],47.322305978576
lateralization_1_ILD,6,2024-11-15,6,8,none,ild,10,$user[az],39.90081484420301
lateralization_1_ILD,7,2024-11-15,7,7,none,ild,5,$user[az],51.030304879909664
lateralization_1_ILD,8,2024-11-15,8,1,none,ild,-90,$user[az],62.165288247321996
lateralization_1_ILD,9,2024-11-15,9,5,none,ild,-10,$user[az],43.60881374553668
lateralization_1_ILD,10,2024-11-15,10,11,none,ild,60,$user[az],-17.630848109378334
lateralization_1_ILD,11,2024-11-15,11,12,none,ild,90,$user[az],-23.19559312723166
lateralization_1_ILD,12,2024-11-15,12,9,none,ild,15,$user[az],38.04406872768334
lateralization_1_ILD,13,2024-11-15,13,3,none,ild,-30,$user[az],69.59227271340069
lateralization_1_ILD,14,2024-11-15,14,12,none,ild,90,$user[az],-21.338847010712
lateralization_1_ILD,15,2024-11-15,15,10,none,ild,30,$user[az],-10.203863643299655
lateralization_1_ILD,16,2024-11-15,16,11,none,ild,60,$user[az],-32.473830378124326
lateralization_1_ILD,17,2024-11-15,17,6,none,ild,-5,$user[az],38.04406872768334
lateralization_1_ILD,18,2024-11-15,18,2,none,ild,-60,$user[az],67.73552659688102
lateralization_1_ILD,19,2024-11-15,19,8,none,ild,10,$user[az],0.9256263924069827
lateralization_1_ILD,20,2024-11-15,20,4,none,ild,-15,$user[az],45.46555986205635
lateralization_1_ILD,21,2024-11-15,21,9,none,ild,15,$user[az],-4.639118625446329
lateralization_1_ILD,22,2024-11-15,22,7,none,ild,5,$user[az],19.487594225898007
lateralization_1_ILD,23,2024-11-15,23,1,none,ild,-90,$user[az],51.030304879909664
lateralization_1_ILD,24,2024-11-15,24,5,none,ild,-10,$user[az],21.338847010711987
lateralization_1_ILD,25,2024-11-15,25,2,none,ild,-60,$user[az],62.165288247321996
lateralization_1_ILD,26,2024-11-15,26,3,none,ild,-30,$user[az],51.030304879909664
lateralization_1_ILD,27,2024-11-15,27,11,none,ild,60,$user[az],-47.322305978576004
lateralization_1_ILD,28,2024-11-15,28,4,none,ild,-15,$user[az],15.774101992858661
lateralization_1_ILD,29,2024-11-15,29,8,none,ild,10,$user[az],0.9256263924069827
lateralization_1_ILD,30,2024-11-15,30,7,none,ild,5,$user[az],12.060609759819329
lateralization_1_ILD,31,2024-11-15,31,12,none,ild,90,$user[az],-43.608813745536665
lateralization_1_ILD,32,2024-11-15,32,10,none,ild,30,$user[az],-28.765831476790673
lateralization_1_ILD,33,2024-11-15,33,5,none,ild,-10,$user[az],51.030304879909664
lateralization_1_ILD,34,2024-11-15,34,1,none,ild,-90,$user[az],80.72176274910734
lateralization_1_ILD,35,2024-11-15,35,9,none,ild,15,$user[az],13.917355876339002
lateralization_1_ILD,36,2024-11-15,36,6,none,ild,-5,$user[az],12.060609759819329
lateralization_1_ILD,37,2024-11-15,37,11,none,ild,60,$user[az],-41.752067629017
lateralization_1_ILD,38,2024-11-15,38,9,none,ild,15,$user[az],26.909085360270993
lateralization_1_ILD,39,2024-11-15,39,10,none,ild,30,$user[az],0
lateralization_1_ILD,40,2024-11-15,40,3,none,ild,-30,$user[az],52.88705099642934
lateralization_1_ILD,41,2024-11-15,41,4,none,ild,-15,$user[az],52.88705099642934
lateralization_1_ILD,42,2024-11-15,42,2,none,ild,-60,$user[az],80.72176274910734
lateralization_1_ILD,43,2024-11-15,43,6,none,ild,-5,$user[az],51.030304879909664
lateralization_1_ILD,44,2024-11-15,44,1,none,ild,-90,$user[az],82.57850886562699
lateralization_1_ILD,45,2024-11-15,45,5,none,ild,-10,$user[az],25.052339243751348
lateralization_1_ILD,46,2024-11-15,46,8,none,ild,10,$user[az],0
lateralization_1_ILD,47,2024-11-15,47,12,none,ild,90,$user[az],-39.900814844203005
lateralization_1_ILD,48,2024-11-15,48,7,none,ild,5,$user[az],21.338847010711987
lateralization_1_ILD,49,2024-11-15,49,11,none,ild,60,$user[az],-30.61708426160466
lateralization_1_ILD,50,2024-11-15,50,9,none,ild,15,$user[az],0
lateralization_1_ILD,51,2024-11-15,51,3,none,ild,-30,$user[az],43.60881374553668
lateralization_1_ILD,52,2024-11-15,52,4,none,ild,-15,$user[az],43.60881374553668
lateralization_1_ILD,53,2024-11-15,53,10,none,ild,30,$user[az],-21.338847010712
lateralization_1_ILD,54,2024-11-15,54,8,none,ild,10,$user[az],-8.352610858485676
lateralization_1_ILD,55,2024-11-15,55,2,none,ild,-60,$user[az],56.600543229468656
lateralization_1_ILD,56,2024-11-15,56,7,none,ild,5,$user[az],21.338847010711987
lateralization_1_ILD,57,2024-11-15,57,6,none,ild,-5,$user[az],39.90081484420301
lateralization_1_ILD,58,2024-11-15,58,1,none,ild,-90,$user[az],75.157017731254
lateralization_1_ILD,59,2024-11-15,59,5,none,ild,-10,$user[az],47.322305978576
lateralization_1_ILD,60,2024-11-15,60,12,none,ild,90,$user[az],-36.18732261116367
lateralization_1_ILD,61,2024-11-15,61,10,none,ild,30,$user[az],-34.330576494644006
lateralization_1_ILD,62,2024-11-15,62,3,none,ild,-30,$user[az],58.45728934598833
lateralization_1_ILD,63,2024-11-15,63,2,none,ild,-60,$user[az],62.165288247321996
lateralization_1_ILD,64,2024-11-15,64,11,none,ild,60,$user[az],-28.765831476790673
lateralization_1_ILD,65,2024-11-15,65,1,none,ild,-90,$user[az],47.322305978576
lateralization_1_ILD,66,2024-11-15,66,9,none,ild,15,$user[az],-10.203863643299655
lateralization_1_ILD,67,2024-11-15,67,5,none,ild,-10,$user[az],0
lateralization_1_ILD,68,2024-11-15,68,4,none,ild,-15,$user[az],0
lateralization_1_ILD,69,2024-11-15,69,6,none,ild,-5,$user[az],19.487594225898007
lateralization_1_ILD,70,2024-11-15,70,7,none,ild,5,$user[az],-6.4958647419660025
lateralization_1_ILD,71,2024-11-15,71,8,none,ild,10,$user[az],0.9256263924069827
lateralization_1_ILD,72,2024-11-15,72,12,none,ild,90,$user[az],-38.04406872768334
