# -*- coding: utf-8 -*-,,,,,,,,,,,,,
,,,,,,,,,,,,,
# A datafile created by Gustav!,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# Experiment: mild-master,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# Vocoded speech in spatially-separated speech or noise maskers.,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# $comments,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
,,,,,,,,,,,,,
S,Trial,Date,Block,Condition,masker,Soundfile,Times,,,,,,
itd_pilot1,24,9/13/2024,24,2,side=l_itd=50_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=50_az=0_mag=0/11__side=l_itd=50_az=0_mag=0__l=dash-gash-dash-gash-dash-bash-gash-gash-dash-dash-gash-bash__r=gash-bash-gash-dash-bash-dash-bash-dash-gash-gash-bash-gash.wav,2591.425788,4991.464374,9783.465261,,,,
itd_pilot1,25,9/13/2024,25,4,side=l_itd=200_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=200_az=0_mag=0/12__side=l_itd=200_az=0_mag=0__l=gash-dash-gash-gash-gash-dash-dash-gash-gash-bash-gash-bash__r=gash-dash-gash-gash-bash-gash-bash-gash-bash-gash-bash-dash.wav,4456.83945,8568.789589,9288.730831,10234.1987,,,
itd_pilot1,26,9/13/2024,26,1,side=r_itd=100_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=100_az=0_mag=0/12__side=r_itd=100_az=0_mag=0__l=gash-dash-gash-bash-dash-gash-gash-gash-gash-bash-dash-gash__r=dash-dash-bash-gash-bash-gash-bash-gash-bash-dash-dash-gash.wav,3454.977008,4999.027099,6767.024338,8182.978092,10559.13521,,
itd_pilot1,27,9/13/2024,27,7,side=r_itd=50_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=50_az=0_mag=0/12__side=r_itd=50_az=0_mag=0__l=gash-dash-bash-dash-dash-gash-gash-gash-gash-bash-dash-gash__r=gash-bash-dash-bash-gash-dash-bash-gash-bash-dash-dash-dash.wav,2969.274301,4825.124026,7492.26345,8625.111678,,,
itd_pilot1,28,9/13/2024,28,6,side=r_itd=200_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=200_az=0_mag=0/12__side=r_itd=200_az=0_mag=0__l=dash-bash-gash-gash-gash-dash-dash-gash-dash-bash-dash-gash__r=gash-dash-dash-bash-dash-bash-gash-gash-bash-gash-gash-bash.wav,2322.436679,6162.310504,7430.240574,9571.081005,,,
itd_pilot1,29,9/13/2024,29,2,side=l_itd=50_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=50_az=0_mag=0/12__side=l_itd=50_az=0_mag=0__l=dash-gash-gash-gash-gash-gash-gash-bash-dash-bash-dash-dash__r=gash-bash-gash-gash-gash-gash-bash-gash-bash-gash-gash-bash.wav,2696.043888,6887.348579,7583.378561,9575.330694,,,
itd_pilot1,30,9/13/2024,30,3,side=l_itd=100_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=100_az=0_mag=0/12__side=l_itd=100_az=0_mag=0__l=gash-bash-dash-gash-dash-bash-gash-bash-gash-dash-dash-gash__r=dash-gash-gash-bash-dash-gash-dash-gash-bash-dash-bash-gash.wav,2540.742692,4419.688909,6135.253235,10411.67444,,,
itd_pilot1,31,9/13/2024,31,8,side=l_itd=400_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=400_az=0_mag=0/12__side=l_itd=400_az=0_mag=0__l=dash-bash-gash-dash-gash-gash-gash-dash-gash-bash-dash-gash__r=dash-dash-bash-gash-bash-gash-dash-gash-bash-gash-bash-gash.wav,2541.209958,3413.887691,4964.903384,8620.736408,9541.033759,10164.9361,
itd_pilot1,32,9/13/2024,32,5,side=r_itd=400_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=400_az=0_mag=0/12__side=r_itd=400_az=0_mag=0__l=gash-gash-gash-dash-gash-gash-gash-bash-dash-bash-gash-gash__r=dash-bash-dash-bash-dash-gash-bash-gash-bash-gash-gash-dash.wav,2841.497303,4529.54131,7313.510066,8969.5088,,,
itd_pilot1,33,9/13/2024,33,6,side=r_itd=200_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=200_az=0_mag=0/13__side=r_itd=200_az=0_mag=0__l=dash-dash-bash-gash-gash-dash-gash-dash-dash-bash-gash-dash__r=gash-gash-dash-bash-gash-bash-gash-dash-bash-gash-bash-gash.wav,3680.834545,4249.752623,5824.855579,8467.745119,,,
