S,Condition,Lead_Stream,Lead_Word,Lag_Word,Lead_Amplitude,Lag_Amplitude,Electrode
mild_master_1 ,large_ild,Masker,bash,non-bash,0.269483734229032,2.1088436487843,F3
mild_master_1 ,large_ild,Masker,non-bash,bash,-0.497541645557984,4.67586146230283,F3
mild_master_1 ,large_ild,Masker,non-bash,non-bash,1.11285495158308,1.42880845417888,F3
mild_master_1 ,small_itd,Target,bash,non-bash,4.65287492275238,0.923894770277871,FC1
mild_master_1 ,small_itd,Target,non-bash,bash,0.55209173840635,4.61403979624019,FC1
mild_master_1 ,small_itd,Target,non-bash,non-bash,-0.428677250814776,1.68427697191847,FC1
mild_master_1 ,small_itd,Masker,bash,non-bash,2.27754159613892,1.89227469011589,FC1
mild_master_1 ,small_itd,Masker,non-bash,bash,-1.08510673017037,4.14052715941173,FC1
mild_master_1 ,small_itd,Masker,non-bash,non-bash,0.179395960427664,0.458915469279656,FC1
mild_master_1 ,large_itd,Target,bash,non-bash,2.38225968054363,3.4404176145792,FC1
mild_master_1 ,large_itd,Target,non-bash,bash,1.87241340478261,4.7687718934483,FC1
mild_master_1 ,large_itd,Target,non-bash,non-bash,1.56108706694145,1.90119295445356,FC1
mild_master_1 ,large_itd,Masker,bash,non-bash,2.72556753575802,0.839555487036705,FC1
mild_master_1 ,large_itd,Masker,non-bash,bash,0.565808855764794,2.1770422299703,FC1
mild_master_1 ,large_itd,Masker,non-bash,non-bash,0.681582028059651,0.993171276720308,FC1
mild_master_1 ,small_ild,Target,bash,non-bash,3.80714410960674,-0.729530835151672,FC1
mild_master_1 ,small_ild,Target,non-bash,bash,-0.017901641414279,4.52979676581564,FC1
mild_master_1 ,small_ild,Target,non-bash,non-bash,1.12045087356441,1.18633817371154,FC1
mild_master_1 ,small_ild,Masker,bash,non-bash,3.12974059663036,2.20066746690057,FC1
mild_master_1 ,small_ild,Masker,non-bash,bash,2.48969071871705,5.62277568512493,FC1
mild_master_1 ,small_ild,Masker,non-bash,non-bash,1.14033933707646,-0.100791192054749,FC1
mild_master_1 ,large_ild,Target,bash,non-bash,2.56714223293548,2.8304840014336,FC1
mild_master_1 ,large_ild,Target,non-bash,bash,1.89117835912949,1.98583473364512,FC1
mild_master_1 ,large_ild,Target,non-bash,non-bash,1.47752256335282,-0.435856609906608,FC1
mild_master_1 ,large_ild,Masker,bash,non-bash,1.08843959149192,1.49200663005604,FC1
mild_master_1 ,large_ild,Masker,non-bash,bash,-0.647790558960127,5.25262698660726,FC1
mild_master_1 ,large_ild,Masker,non-bash,non-bash,0.952179751855246,1.54210535036111,FC1
mild_master_1 ,small_itd,Target,bash,non-bash,3.76922661529647,0.780470914642016,FC5
mild_master_1 ,small_itd,Target,non-bash,bash,1.24015439643579,3.467118866654,FC5
mild_master_1 ,small_itd,Target,non-bash,non-bash,0.227574979413486,1.60815436501875,FC5
mild_master_1 ,small_itd,Masker,bash,non-bash,1.91266301141845,1.74217101423829,FC5
mild_master_1 ,small_itd,Masker,non-bash,bash,0.428229664593208,3.58883760905847,FC5
mild_master_1 ,small_itd,Masker,non-bash,non-bash,1.0063334129907,0.529347909413851,FC5
mild_master_1 ,large_itd,Target,bash,non-bash,1.77050554411752,2.37584519897188,FC5
mild_master_1 ,large_itd,Target,non-bash,bash,1.49273542728689,3.0470026353995,FC5
mild_master_1 ,large_itd,Target,non-bash,non-bash,0.976630764193349,1.39183754913219,FC5
mild_master_1 ,large_itd,Masker,bash,non-bash,2.09398262878259,0.436565487384796,FC5
mild_master_1 ,large_itd,Masker,non-bash,bash,1.26743509444323,2.6312322974205,FC5
mild_master_1 ,large_itd,Masker,non-bash,non-bash,0.551731854634319,0.524088379461988,FC5
mild_master_1 ,small_ild,Target,bash,non-bash,2.80340752482414,0.219482608437538,FC5
mild_master_1 ,small_ild,Target,non-bash,bash,0.770612068687166,3.0518291700454,FC5
mild_master_1 ,small_ild,Target,non-bash,non-bash,1.02079930763371,0.816258518585306,FC5
mild_master_1 ,small_ild,Masker,bash,non-bash,2.83011084063487,0.625786083394831,FC5
mild_master_1 ,small_ild,Masker,non-bash,bash,2.23892430928018,3.86381512946553,FC5
mild_master_1 ,small_ild,Masker,non-bash,non-bash,1.30684047856725,0.427439641504359,FC5
mild_master_1 ,large_ild,Target,bash,non-bash,1.89148231212129,2.23385000406428,FC5
mild_master_1 ,large_ild,Target,non-bash,bash,0.968020143570044,1.9460664110306,FC5
mild_master_1 ,large_ild,Target,non-bash,non-bash,0.875458839463025,0.119861761050496,FC5
mild_master_1 ,large_ild,Masker,bash,non-bash,-0.213478431280921,1.94365177610341,FC5
mild_master_1 ,large_ild,Masker,non-bash,bash,-0.650166948722756,3.81229309206424,FC5
mild_master_1 ,large_ild,Masker,non-bash,non-bash,0.988248749993603,0.700134076020732,FC5
mild_master_1 ,small_itd,Target,bash,non-bash,3.64270041137934,0.540800449417697,T7
mild_master_1 ,small_itd,Target,non-bash,bash,1.33433936466189,3.42323657326839,T7
mild_master_1 ,small_itd,Target,non-bash,non-bash,0.579690759909068,1.21336022454796,T7
mild_master_1 ,small_itd,Masker,bash,non-bash,1.27507670599001,1.15187908488291,T7
mild_master_1 ,small_itd,Masker,non-bash,bash,-0.303936353689287,3.34594451189041,T7
mild_master_1 ,small_itd,Masker,non-bash,non-bash,0.425847223713681,0.482708283446052,T7
mild_master_1 ,large_itd,Target,bash,non-bash,2.2883000101362,2.26427616242852,T7
mild_master_1 ,large_itd,Target,non-bash,bash,1.11682314160797,2.89745756056574,T7
mild_master_1 ,large_itd,Target,non-bash,non-bash,0.943116437576034,1.19436213993407,T7
mild_master_1 ,large_itd,Masker,bash,non-bash,1.79595253139734,0.492772845129172,T7
mild_master_1 ,large_itd,Masker,non-bash,bash,1.29576876091235,2.74582364161809,T7
mild_master_1 ,large_itd,Masker,non-bash,non-bash,0.160786396565197,0.17113789315704,T7
mild_master_1 ,small_ild,Target,bash,non-bash,3.41950614005327,0.138776904940605,T7
mild_master_1 ,small_ild,Target,non-bash,bash,0.353464820981026,2.40534351510661,T7
mild_master_1 ,small_ild,Target,non-bash,non-bash,0.833267226598121,0.49508923339528,T7
mild_master_1 ,small_ild,Masker,bash,non-bash,2.20616472309286,0.819997935809872,T7
mild_master_1 ,small_ild,Masker,non-bash,bash,1.98249325851599,3.5372920907206,T7
mild_master_1 ,small_ild,Masker,non-bash,non-bash,1.25572627814193,-0.00243098041168729,T7
mild_master_1 ,large_ild,Target,bash,non-bash,1.94966299077298,1.53338131397328,T7
