S,Condition,Target_Direction,Lead_Stream,Word,WordPosition,Amplitude_1,Amplitude_2,Amplitude_3,Amplitude_4,Amplitude_5,Amplitude_6,Amplitude_7,Amplitude_8,Amplitude_9,Amplitude_10,Amplitude_11,Amplitude_12,Amplitude_13,Amplitude_14,Amplitude_15,Amplitude_16,Amplitude_17,Amplitude_18,Amplitude_19,Amplitude_20,Amplitude_21,Amplitude_22,Amplitude_23,Amplitude_24,Amplitude_25,Amplitude_26,Amplitude_27,Amplitude_28,Amplitude_29,Amplitude_30,Amplitude_31,Amplitude_32
mild_master_1 ,large_itd,R,Masker,"bash",Lead,3.14274046846798,2.25432745346001,2.43675022508417,3.73974698483944,3.4133324516671,2.93457754637514,1.862680840918,3.38155111585345,1.45541206917592,1.39766641472067,-0.36563325087939,0.863178725966385,-0.242475836936917,0.72131572903267,0.0743835717173559,-0.520864633790084,-1.57280498482287,-1.41407627527203,-1.49304754936269,-2.10937601647207,-1.4477842311774,-0.230504867221628,0.159247979096004,0.0823298805526325,1.51775020488671,2.51459993251732,3.35614783849035,1.97025878897735,1.84712144221578,2.54891525549548,4.52277568621295,2.23229702200208
mild_master_1 ,large_itd,L,Target,"dash,gash",Lead,1.97582884111575,1.54198256560734,2.22501375600696,2.60413583634155,1.96409600068416,2.82866935155221,1.42397113857525,1.73098181039095,0.653359180050237,0.736315425006407,-0.380365520669147,-0.0927628413907119,-0.243799130618572,-0.943705502548255,-0.692494660569355,-0.268631938149753,0.0128674256049895,-0.0373012440811311,0.271494196248906,0.327108064586563,0.726621325686574,0.765184058408652,1.37588943381395,1.78329536175089,1.92425753474236,1.98480889169233,2.12447952596205,2.20719831000481,1.33805605556284,1.89708195520299,2.53516536418881,1.33720720580646
mild_master_1 ,large_itd,R,Target,"dash,gash",Lead,2.27470893336802,1.58937487979324,2.16991052041654,3.22184793894388,2.42815214851681,2.92432763199417,1.6268222231646,2.51213414480492,0.906127293296412,1.25032737658543,-0.255346650764549,-0.218259465025396,-1.23731827459672,-0.943246642610717,-0.373416981403241,-0.288870967405082,-0.150429715576651,-0.0379508667733191,0.662553845087484,0.816723296431457,1.95194667258433,0.688144632545458,2.13520464270699,2.58015779421038,2.54910464442912,1.91270853163434,2.62355985223842,2.33147585908977,1.25457067544363,1.83729283663691,2.8340771120219,1.25006211533838
mild_master_1 ,large_itd,L,Masker,"dash,gash",Lead,1.36691708751276,0.102383894174277,1.92696103838836,2.05886806449652,1.15581599695612,1.70968973717722,0.427486101380822,0.0245646854647163,-0.869012908059724,-0.193488660921045,-1.23725260602407,-1.55412472632467,-2.31247911620843,-1.70936675560861,-1.41073651088913,-1.48913948511591,-1.00997420689387,-1.30092475390961,-0.858217206164823,-0.176652035272581,0.594257869485284,-0.907528659654042,0.800853671805929,0.974216488280805,1.42948620227459,1.11452559940939,1.7262759350595,2.22224240995048,0.501214737659679,2.24987739202928,2.01723078643384,-0.160453880049474
mild_master_1 ,large_itd,R,Masker,"dash,gash",Lead,2.37934637422761,2.02417446709261,2.46018423633293,3.41612203684003,3.04747216325604,3.02385187169816,1.71111242229099,2.90654200128562,0.612819094535366,0.932641940509401,-0.205352672820307,0.100078960225142,0.0217926188628433,-0.57604241800634,-0.540146051857374,-0.782708526900499,-0.521272241095736,-0.16874054152168,0.312463573540337,0.369414407500303,1.2589975073674,1.17896455245982,1.890035523874,1.86306806126746,2.50701669585414,2.3543420179588,3.065467355351,2.52271218665385,1.7312164495631,2.22600346793281,3.16846727701845,1.18956669458944
mild_master_1 ,large_itd,L,Target,"bash",Lag,3.18182610613959,1.28248743925776,2.75965127490816,3.92855088010667,3.43362778377911,3.22321148003851,2.44972815967741,2.68812653611577,0.677882351336025,2.23335963227446,1.25893184394827,0.1084394920913,-1.46073714147011,-1.3403795677762,-0.191888022014783,-0.678149496752118,-0.767463314849588,-0.870626212467277,-0.206272026849171,-0.387352707248832,0.677427464770892,0.0318797065152062,1.58467482810929,1.08439425674696,2.01603642579109,3.09458522853397,2.74534458158508,2.6825816872574,1.6124046984173,3.19098176416897,5.0229594097251,1.1720084363506
mild_master_1 ,large_itd,R,Target,"bash",Lag,2.17977921168009,3.70418100886875,3.25432980722851,3.48684275717962,3.50250233165802,3.67272734642029,3.88629322771042,4.94787849225695,4.16590862236326,4.44027083922946,3.05713417522964,4.30789224921711,5.31093670782589,3.56121963605521,1.70151207921287,2.19538182765245,2.1153440288608,2.88871606664052,2.88115427796803,1.74222820334964,2.03633426389997,2.63522658461616,2.35637378124964,3.66418959791698,2.88406990161018,2.0453006199428,2.57472514065485,2.5983290795296,2.68717565422966,3.03726989693112,4.04047248382417,3.98842233324808
mild_master_1 ,large_itd,L,Masker,"bash",Lag,4.32291178476243,3.42539346785772,5.33880684631211,4.82615345290729,3.87925149571328,4.70463609411603,1.47913723687331,1.71423212403343,-2.51404027144114,-1.08516655294668,-4.15862333171424,-3.34982408299333,-3.59112692872683,-4.95661172944875,-4.12245075333686,-2.93655357066365,-2.35125115762154,-1.27822081744671,1.46106436280977,-0.762021888579641,5.40533615293957,2.69185342320374,7.25733089447021,6.26783261767456,7.91194112244106,6.85600065475418,6.91287984592574,7.53378495857829,5.43704370515687,3.67376148133051,4.29446745060739,3.90955288921084
mild_master_1 ,large_itd,R,Masker,"bash",Lag,3.61877883719159,3.82791139282189,2.10429427840493,4.14298627825526,4.44745780237309,2.89887527908598,2.11900539522047,3.26590500752647,3.20371661983527,1.39179566889614,0.484153128289557,1.33605360036547,3.08966095706859,1.30046742888434,1.10501594831804,2.45468008017482,2.0421260791988,2.54192861256661,2.47741922745844,1.50146149979396,2.28928566888555,3.53081486441872,3.32482246028913,1.66635398934414,3.33143321685977,4.76779231506509,4.99158964915709,2.28483602985159,4.30921491670918,3.69357330264983,6.24765484209184,4.01951216722464
mild_master_1 ,large_itd,L,Target,"dash,gash",Lag,0.829583829279748,-0.062521738198872,0.974043568053124,1.3865376230322,0.774196788406185,1.58154627406667,0.841413016188635,1.62374655176282,0.255102430304436,0.82071375112011,-0.50712042219514,-0.178529369183716,-0.66616374338793,-0.357145471500193,-0.917775783665959,-1.22880460062008,-1.00042144888046,-0.778786738528897,-0.450219449785824,-0.523341756452553,0.208539944047331,-0.339277203418971,0.203326591306936,0.450452291218969,0.546956937490377,-0.117833180553526,0.47130928172524,0.733416794914089,-0.164851566350157,0.440608236537754,0.791688897021829,-0.626114114623247
