S,Condition,Lead_Stream,Lead_Word,Lag_Word,Lead_Amplitude,Lag_Amplitude,Electrode
mild_master_1 ,large_ild,Masker,non-bash,non-bash,2.77198410552481,1.69587513445327,F3
mild_master_1 ,small_itd,Target,bash,non-bash,2.20744084450934,4.07535400357511,FC1
mild_master_1 ,small_itd,Target,non-bash,bash,2.33331704981187,0.147585629715639,FC1
mild_master_1 ,small_itd,Target,non-bash,non-bash,1.61401757500696,0.589759159003589,FC1
mild_master_1 ,small_itd,Masker,bash,non-bash,3.60869216874794,1.07483251933698,FC1
mild_master_1 ,small_itd,Masker,non-bash,bash,3.29270584844961,0.816708251034341,FC1
mild_master_1 ,small_itd,Masker,non-bash,non-bash,3.63721647287582,1.45796353708614,FC1
mild_master_1 ,large_itd,Target,bash,non-bash,1.11947554733072,3.01712165219443,FC1
mild_master_1 ,large_itd,Target,non-bash,bash,2.15550891127851,3.31256933377849,FC1
mild_master_1 ,large_itd,Target,non-bash,non-bash,0.780199750135471,0.684555454997273,FC1
mild_master_1 ,large_itd,Masker,bash,non-bash,-0.646816850105921,2.06358926832676,FC1
mild_master_1 ,large_itd,Masker,non-bash,bash,2.75690458832365,0.332527040712761,FC1
mild_master_1 ,large_itd,Masker,non-bash,non-bash,1.66533524792829,0.480992730487165,FC1
mild_master_1 ,small_ild,Target,bash,non-bash,1.19043892681599,2.60342734575272,FC1
mild_master_1 ,small_ild,Target,non-bash,bash,4.00466489649954,0.104040611925579,FC1
mild_master_1 ,small_ild,Target,non-bash,non-bash,2.28148126515332,1.43770527192299,FC1
mild_master_1 ,small_ild,Masker,bash,non-bash,3.21694182401354,3.14550282521681,FC1
mild_master_1 ,small_ild,Masker,non-bash,bash,2.40740509430567,1.38630559047063,FC1
mild_master_1 ,small_ild,Masker,non-bash,non-bash,3.03660607293136,0.829703306076222,FC1
mild_master_1 ,large_ild,Target,bash,non-bash,1.18107565692131,2.08328280829369,FC1
mild_master_1 ,large_ild,Target,non-bash,bash,3.49851142871074,0.911022719970116,FC1
mild_master_1 ,large_ild,Target,non-bash,non-bash,2.35147481003428,1.55841896960406,FC1
mild_master_1 ,large_ild,Masker,bash,non-bash,-0.73878669388154,0.399904323325438,FC1
mild_master_1 ,large_ild,Masker,non-bash,bash,2.94838256887768,0.0839186785013779,FC1
mild_master_1 ,large_ild,Masker,non-bash,non-bash,2.99982469155922,1.50063753431628,FC1
mild_master_1 ,small_itd,Target,bash,non-bash,1.50722285211086,3.33713625603252,FC5
mild_master_1 ,small_itd,Target,non-bash,bash,2.32958227851812,0.451069453533958,FC5
mild_master_1 ,small_itd,Target,non-bash,non-bash,1.61568360159583,0.569335702970518,FC5
mild_master_1 ,small_itd,Masker,bash,non-bash,2.66463357121856,1.14606885159457,FC5
mild_master_1 ,small_itd,Masker,non-bash,bash,1.95210636563417,0.924050157826121,FC5
mild_master_1 ,small_itd,Masker,non-bash,non-bash,3.2893767762851,1.41046977918465,FC5
