,Unnamed: 0,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
1302,340,az_itd=0_az=5,8.0,3.596224788895918e-16,0.0083229357713903,1.7273636291313063e-08,-3.479729438930663,-0.0601075807202631,14,9,hbo,True,S14_D9 hbo,mild_master_3,0.0113435873098963,
1303,341,az_itd=15_az=0,8.0,3.596224788895918e-16,0.0004521867783812,1.7274189070305442e-08,-5.704197657568551,-0.0985353888312325,14,9,hbo,True,S14_D9 hbo,mild_master_3,-0.0250145076141573,
1304,342,az_itd=5_az=0,8.0,3.596224788895918e-16,0.0003061537311307,1.7277231262088512e-08,-6.049294872827201,-0.1045150664904018,14,9,hbo,True,S14_D9 hbo,mild_master_3,-0.0227596679540652,
1309,307,az_itd=0_az=15,8.0,3.609639311672608e-16,0.1100154194162158,1.7295227084998638e-08,-1.797243832315668,-0.0310837402070126,14,10,hbo,False,S14_D10 hbo,mild_master_3,-0.0371992205888856,
1310,308,az_itd=0_az=5,8.0,3.609639311672608e-16,0.0523819422107121,1.7305823086737834e-08,-2.276189543341448,-0.0393913335489496,14,10,hbo,False,S14_D10 hbo,mild_master_3,0.0234812115531132,
1311,309,az_itd=15_az=0,8.0,3.609639311672608e-16,0.0005070382389139,1.7306376895749832e-08,-5.60540916596826,-0.0970093236811374,14,10,hbo,True,S14_D10 hbo,mild_master_3,-0.0457535112977883,
1312,310,az_itd=5_az=0,8.0,3.609639311672608e-16,3.8258916302245206e-05,1.730942475619484e-08,-8.148060565631466,-0.1410382412697162,14,10,hbo,True,S14_D10 hbo,mild_master_3,-0.0223309287564276,
1317,355,az_itd=0_az=15,8.0,2.258641962373482e-16,0.0246423178473419,1.3681006869897988e-08,2.7608521958330474,0.0377712378579648,15,17,hbo,True,S15_D17 hbo,mild_master_3,0.0118959246242184,
1318,356,az_itd=0_az=5,8.0,2.258641962373482e-16,0.1533805406810069,1.3689388602723754e-08,1.5772882027904709,0.0215921111464905,15,17,hbo,False,S15_D17 hbo,mild_master_3,0.0476232775767813,
1319,357,az_itd=15_az=0,8.0,2.258641962373482e-16,0.6661576667786973,1.3689826681094193e-08,-0.4478255400593612,-0.00613065402678,15,17,hbo,False,S15_D17 hbo,mild_master_3,0.0160122797247448,
1320,358,az_itd=5_az=0,8.0,2.258641962373482e-16,0.0034921284302879,1.369223762369019e-08,-4.088645187309307,-0.0559827014635963,15,17,hbo,True,S15_D17 hbo,mild_master_3,0.0140928778755713,
1325,371,az_itd=0_az=15,8.0,3.031275101543394e-16,0.0487160902650199,1.5849188873641368e-08,2.322668202285449,0.0368124070288231,15,18,hbo,True,S15_D18 hbo,mild_master_3,0.0251600236797016,
1326,372,az_itd=0_az=5,8.0,3.031275101543394e-16,0.1864772103879391,1.5858898953309278e-08,1.444943820500819,0.0229152180425311,15,18,hbo,False,S15_D18 hbo,mild_master_3,0.042460969037876,
1327,373,az_itd=15_az=0,8.0,3.031275101543394e-16,0.1366552007660023,1.5859406458853322e-08,-1.6543410228037343,-0.0262368667021995,15,18,hbo,False,S15_D18 hbo,mild_master_3,0.000193865256328,
1328,374,az_itd=5_az=0,8.0,3.031275101543394e-16,0.0007000815660287,1.586219949045771e-08,-5.33290277886078,-0.0845915677415059,15,18,hbo,True,S15_D18 hbo,mild_master_3,0.0188178639366237,
1333,387,az_itd=0_az=15,8.0,2.5360306864841647e-16,0.3630288168369409,1.449678229308523e-08,0.96452623327711,0.0139825268197878,15,22,hbo,False,S15_D22 hbo,mild_master_3,-0.0065537100138737,
1334,388,az_itd=0_az=5,8.0,2.5360306864841647e-16,0.0643007770367333,1.4505663814538252e-08,2.144731851901486,0.031110759216015,15,22,hbo,False,S15_D22 hbo,mild_master_3,0.0434757970462394,
1335,389,az_itd=15_az=0,8.0,2.5360306864841647e-16,0.0057954010203417,1.4506128014784913e-08,-3.7290784541143527,-0.054094489432559,15,22,hbo,True,S15_D22 hbo,mild_master_3,-0.0256803562533446,
1336,390,az_itd=5_az=0,8.0,2.5360306864841647e-16,0.0004195513302092,1.450868271783182e-08,-5.769440590683134,-0.0837069829896018,15,22,hbo,True,S15_D22 hbo,mild_master_3,0.0165076695587772,
1341,403,az_itd=0_az=15,8.0,2.8028742074457883e-16,0.0963726686822981,1.5240393074671333e-08,1.883584430080748,0.0287065671037613,16,16,hbo,False,S16_D16 hbo,mild_master_3,0.0322847084062481,
1342,404,az_itd=0_az=5,8.0,2.8028742074457883e-16,0.0168469914445232,1.524973017274652e-08,3.008695423445503,0.0458817933795212,16,16,hbo,True,S16_D16 hbo,mild_master_3,0.0533089693236073,
1343,405,az_itd=15_az=0,8.0,2.8028742074457883e-16,0.1257693343119772,1.525021818409148e-08,-1.709298983241218,-0.0260671824362743,16,16,hbo,False,S16_D16 hbo,mild_master_3,0.0210892708514301,
1344,406,az_itd=5_az=0,8.0,2.8028742074457883e-16,0.0245890732602358,1.5252903930337565e-08,-2.762252763442877,-0.0421323760321036,16,16,hbo,True,S16_D16 hbo,mild_master_3,0.0311458397622374,
1349,419,az_itd=0_az=15,8.0,4.3998767747133393e-16,0.071548027527275,1.909477835165959e-08,2.076096092126579,0.0396425947159036,16,17,hbo,False,S16_D17 hbo,mild_master_3,0.0170089505743683,
1350,420,az_itd=0_az=5,8.0,4.3998767747133393e-16,0.1954844214094749,1.9106476856896287e-08,1.4125604242046264,0.0269890530540332,16,17,hbo,False,S16_D17 hbo,mild_master_3,0.0690597305003009,
1351,421,az_itd=15_az=0,8.0,4.3998767747133393e-16,0.0605122719825352,1.9107088289188055e-08,-2.1837016034788044,-0.041724179334911,16,17,hbo,False,S16_D17 hbo,mild_master_3,0.0115246759484036,
1352,422,az_itd=5_az=0,8.0,4.3998767747133393e-16,0.0006805789406692,1.9110453276496885e-08,-5.356430843797763,-0.1023638213691839,16,17,hbo,True,S16_D17 hbo,mild_master_3,0.0231193024829798,
1357,435,az_itd=0_az=15,8.0,5.343080342176433e-16,0.0289526533894039,2.1042155081180492e-08,2.6567142910118227,0.0559029941178592,16,18,hbo,True,S16_D18 hbo,mild_master_3,0.0156029626436827,
1358,436,az_itd=0_az=5,8.0,5.343080342176433e-16,0.0195129668371771,2.1055046655875694e-08,2.912541288853959,0.0613236927239844,16,18,hbo,True,S16_D18 hbo,mild_master_3,0.0605044454336685,
1359,437,az_itd=15_az=0,8.0,5.343080342176433e-16,0.5687132087916413,2.1055720444953948e-08,-0.5943309591434928,-0.0125140665275067,16,18,hbo,False,S16_D18 hbo,mild_master_3,-0.002221552678765,
1360,438,az_itd=5_az=0,8.0,5.343080342176433e-16,0.0113944819051686,2.1059428609746148e-08,-3.267749372369828,-0.0688169346219651,16,18,hbo,True,S16_D18 hbo,mild_master_3,0.0462953893254883,
1365,451,az_itd=0_az=15,8.0,6.700895691221605e-14,0.5113700235506151,1.9729609254858378e-07,0.68722144182664,0.1355861051879999,16,22,hbo,False,S16_D22 hbo,mild_master_3,-0.0484271412056711,
1366,452,az_itd=0_az=5,8.0,6.700895691221605e-14,0.241454637629334,1.973692323304941e-07,1.2650559741758622,0.2496831264781952,16,22,hbo,False,S16_D22 hbo,mild_master_3,0.183394598496022,
1367,453,az_itd=15_az=0,8.0,6.700895691221605e-14,0.558878195515156,1.9735489860432586e-07,0.6098543151331647,0.1203577365265163,16,22,hbo,False,S16_D22 hbo,mild_master_3,-0.0080064993431073,
1368,454,az_itd=5_az=0,8.0,6.700895691221605e-14,0.2482537315886952,1.9735529960418835e-07,1.2453152812303012,0.2457695704288801,16,22,hbo,False,S16_D22 hbo,mild_master_3,-0.0542748993903364,
1373,467,az_itd=0_az=15,8.0,2.0490580886622187e-16,0.2291035607953921,1.3030812624681345e-08,-1.3021470879466377,-0.016968034712807,16,23,hbo,False,S16_D23 hbo,mild_master_3,-0.0204167452251176,
1374,468,az_itd=0_az=5,8.0,2.0490580886622187e-16,0.2781719269049693,1.3038796012962729e-08,-1.163449552957989,-0.0151699813923918,16,23,hbo,False,S16_D23 hbo,mild_master_3,0.0382721037285071,
1375,469,az_itd=15_az=0,8.0,2.0490580886622187e-16,0.0007511573711985,1.3039213271517922e-08,-5.2745358925531765,-0.068775798411277,16,23,hbo,True,S16_D23 hbo,mild_master_3,-0.0180836127706821,
1376,470,az_itd=5_az=0,8.0,2.0490580886622187e-16,0.0009707554091137,1.3041509633292758e-08,-5.065210150818804,-0.0660579869765557,16,23,hbo,True,S16_D23 hbo,mild_master_3,0.0105352725494999,
1381,483,az_itd=0_az=15,8.0,2.749693714601388e-16,0.3559961453747368,1.509511844909562e-08,0.979553951467986,0.0147864829246889,17,15,hbo,False,S17_D15 hbo,mild_master_3,0.0414489245356112,
1382,484,az_itd=0_az=5,8.0,2.749693714601388e-16,0.3452741318121927,1.51043665439922e-08,1.0029025668416938,0.0151482079774875,17,15,hbo,False,S17_D15 hbo,mild_master_3,0.0374189661068553,
1383,485,az_itd=15_az=0,8.0,2.749693714601388e-16,0.0431618257797484,1.5104849903510593e-08,-2.4002212056953125,-0.0362549810472509,17,15,hbo,True,S17_D15 hbo,mild_master_3,0.0498088462165852,
1384,486,az_itd=5_az=0,8.0,2.749693714601388e-16,0.2662985700685288,1.510751004865975e-08,-1.1950268715150931,-0.0180538804698327,17,15,hbo,False,S17_D15 hbo,mild_master_3,0.022315260789355,
1389,499,az_itd=0_az=15,8.0,1.6954096236037595e-16,0.393458374440133,1.1562724572352056e-08,0.9018891808999592,0.0104282961935304,17,16,hbo,False,S17_D16 hbo,mild_master_3,0.0092141595335734,
1390,500,az_itd=0_az=5,8.0,1.6954096236037595e-16,0.6197380292438524,1.1569335809938116e-08,0.5161066587013182,0.0059710112482606,17,16,hbo,False,S17_D16 hbo,mild_master_3,0.016029150833685,
1391,501,az_itd=15_az=0,8.0,1.6954096236037595e-16,0.0102511854012172,1.15694523575528e-08,-3.3386841712281186,-0.0386267474559393,17,16,hbo,True,S17_D16 hbo,mild_master_3,0.0117424288591484,
1392,502,az_itd=5_az=0,8.0,1.6954096236037595e-16,0.0343746402063651,1.1571107052087657e-08,-2.546251384981855,-0.0294629473571515,17,16,hbo,True,S17_D16 hbo,mild_master_3,-0.0058289799366551,
1397,515,az_itd=0_az=15,8.0,2.964798107360909e-16,0.1663442942637679,1.567443615098831e-08,1.522655321726195,0.0238667636203598,17,17,hbo,False,S17_D17 hbo,mild_master_3,0.0258940787381129,
1398,516,az_itd=0_az=5,8.0,2.964798107360909e-16,0.1486493592286619,1.5684039167583615e-08,1.598273540907591,0.0250673848161072,17,17,hbo,False,S17_D17 hbo,mild_master_3,0.0614556201157307,
1399,517,az_itd=15_az=0,8.0,2.964798107360909e-16,0.0191701556410755,1.5684541077385417e-08,-2.924112733986004,-0.0458633662911092,17,17,hbo,True,S17_D17 hbo,mild_master_3,0.0143121071785215,
1400,518,az_itd=5_az=0,8.0,2.964798107360909e-16,0.0016946960537211,1.5687303313099797e-08,-4.6269845701747485,-0.0725849103773639,17,17,hbo,True,S17_D17 hbo,mild_master_3,0.0251426791976831,
1405,531,az_itd=0_az=15,8.0,2.52768235189916e-16,0.585476471803783,1.4472901715983283e-08,-0.5682208489584374,-0.008223804499948,17,21,hbo,False,S17_D21 hbo,mild_master_3,0.0356926374908475,
1406,532,az_itd=0_az=5,8.0,2.52768235189916e-16,0.0628723218458348,1.4481768606889089e-08,-2.1591529396153737,-0.0312683532583942,17,21,hbo,False,S17_D21 hbo,mild_master_3,0.004165529306101,
1407,533,az_itd=15_az=0,8.0,2.52768235189916e-16,0.0012932402959052,1.4482232042457798e-08,-4.836888134918032,-0.0700489363332938,17,21,hbo,True,S17_D21 hbo,mild_master_3,0.0156824964447335,
1408,534,az_itd=5_az=0,8.0,2.52768235189916e-16,0.0062042969737249,1.4484782537137508e-08,-3.681659534118469,-0.053328037727485,17,21,hbo,True,S17_D21 hbo,mild_master_3,0.0301702110907692,
1413,547,az_itd=0_az=15,8.0,1.9121660603588907e-16,0.8340001310808819,1.258801255787794e-08,0.2165221082765159,0.0027255830180429,17,22,hbo,False,S17_D22 hbo,mild_master_3,-0.00016734526913,
1414,548,az_itd=0_az=5,8.0,1.9121660603588907e-16,0.1351924239738178,1.2595724662628042e-08,-1.6614854278997735,-0.0209276129807942,17,22,hbo,False,S17_D22 hbo,mild_master_3,0.0373220458929621,
1415,549,az_itd=15_az=0,8.0,1.9121660603588907e-16,0.0030566082549219,1.2596127742319533e-08,-4.185478909646159,-0.0527208270086873,17,22,hbo,True,S17_D22 hbo,mild_master_3,0.011130117200475,
1416,550,az_itd=5_az=0,8.0,1.9121660603588907e-16,0.014082204875235,1.2598346071420846e-08,-3.1268469811648614,-0.0393931003810924,17,22,hbo,True,S17_D22 hbo,mild_master_3,-0.0009203628077102,
1421,563,az_itd=0_az=15,8.0,1.5979716907810142e-16,0.9894033232791926,1.1507444933695031e-08,-0.0137019350545852,-0.0001576742631257,17,23,hbo,False,S17_D23 hbo,mild_master_3,0.0139588511704674,
1422,564,az_itd=0_az=5,8.0,1.5979716907810142e-16,0.1697253805598708,1.1514495023637878e-08,-1.5090379803970764,-0.0173758103157626,17,23,hbo,False,S17_D23 hbo,mild_master_3,0.0151952993743835,
1423,565,az_itd=15_az=0,8.0,1.5979716907810142e-16,0.0008597617625807,1.1514863502564348e-08,-5.163688189837227,-0.0594591646757792,17,23,hbo,True,S17_D23 hbo,mild_master_3,-0.0052377619733739,
1424,566,az_itd=5_az=0,8.0,1.5979716907810142e-16,0.0372638259607432,1.151689140807054e-08,-2.49443430301638,-0.0287281289924057,17,23,hbo,True,S17_D23 hbo,mild_master_3,-0.0237971586591911,
1429,579,az_itd=0_az=15,8.0,5.106739101341897e-16,0.8746427987635123,2.00675657271986e-08,-0.1628922601977275,-0.0032688511379698,18,15,hbo,False,S18_D15 hbo,mild_master_3,0.0374261203625772,
1430,580,az_itd=0_az=5,8.0,5.106739101341897e-16,0.7580805758362483,2.007903979146141e-08,-0.3187480501842702,-0.0064001547831007,18,15,hbo,False,S18_D15 hbo,mild_master_3,0.0422295992152897,
1431,581,az_itd=15_az=0,8.0,5.106739101341897e-16,0.0118215915274558,2.0079242064455414e-08,-3.2431570814097377,-0.0651201360906788,18,15,hbo,True,S18_D15 hbo,mild_master_3,0.0442156627505492,
1432,582,az_itd=5_az=0,8.0,5.106739101341897e-16,0.4031217016279116,2.008211385225325e-08,-0.8827399100092606,-0.0177272833747337,18,15,hbo,False,S18_D15 hbo,mild_master_3,0.0401364799793797,
1437,595,az_itd=0_az=15,8.0,1.992771143584036e-16,0.5421756670842177,1.2535786057339611e-08,0.6365867180408789,0.0079801149043044,18,16,hbo,False,S18_D16 hbo,mild_master_3,0.0146321567691332,
1438,596,az_itd=0_az=5,8.0,1.992771143584036e-16,0.2623324065254631,1.2542953663852633e-08,1.2058324675742915,0.0151247007671534,18,16,hbo,False,S18_D16 hbo,mild_master_3,0.0445037427361686,
1439,597,az_itd=15_az=0,8.0,1.992771143584036e-16,0.0199781188966907,1.2543080019535851e-08,-2.8971732051847114,-0.0363394753430869,18,16,hbo,True,S18_D16 hbo,mild_master_3,0.0089153168444231,
1440,598,az_itd=5_az=0,8.0,1.992771143584036e-16,0.8459947459719305,1.2544873964946331e-08,-0.2006298043842839,-0.0025168756096126,18,16,hbo,False,S18_D16 hbo,mild_master_3,0.0282097558143777,
1445,611,az_itd=0_az=15,8.0,5.575162771790162e-16,0.1734584467558032,2.0967740568522836e-08,-1.4942822723873668,-0.031331723023561,18,21,hbo,False,S18_D21 hbo,mild_master_3,0.0520172532372133,
1446,612,az_itd=0_az=5,8.0,5.575162771790162e-16,0.0262269492956736,2.0979729327199384e-08,-2.720536279742559,-0.0570761147738248,18,21,hbo,True,S18_D21 hbo,mild_master_3,0.0165963082012026,
1447,613,az_itd=15_az=0,8.0,5.575162771790162e-16,0.0009237247260863,2.0979940673593853e-08,-5.10535339240796,-0.1071100112904501,18,21,hbo,True,S18_D21 hbo,mild_master_3,0.0168406094421934,
1448,614,az_itd=5_az=0,8.0,5.575162771790162e-16,0.0037964290609487,2.098294128175588e-08,-4.028413410350443,-0.0845279620480212,18,21,hbo,True,S18_D21 hbo,mild_master_3,0.0515619805177774,
1453,627,az_itd=0_az=15,8.0,1.8666865466598087e-16,0.6135277493342609,1.243741321858375e-08,-0.5254362646379912,-0.0065350679433318,18,22,hbo,False,S18_D22 hbo,mild_master_3,0.0010263574096357,
1454,628,az_itd=0_az=5,8.0,1.8666865466598087e-16,0.0720328311315543,1.244503305794449e-08,-2.071750847881477,-0.0257830077897095,18,22,hbo,False,S18_D22 hbo,mild_master_3,0.0391052990750253,
1455,629,az_itd=15_az=0,8.0,1.8666865466598087e-16,0.0024314445545903,1.2445431315307206e-08,-4.354221403156821,-0.0541901634046287,18,22,hbo,True,S18_D22 hbo,mild_master_3,0.008951376049496,
1456,630,az_itd=5_az=0,8.0,1.8666865466598087e-16,0.1795399554318059,1.2447623104961129e-08,-1.4708396424415269,-0.0183084575169479,18,22,hbo,False,S18_D22 hbo,mild_master_3,0.0083255472230531,
1461,643,az_itd=0_az=15,8.0,3.725321995013845e-15,0.6259115475176911,3.3271362172923004e-08,-0.5068805060542151,-0.0168646048953242,18,23,hbo,False,S18_D23 hbo,mild_master_3,-0.01657004293632,
1462,644,az_itd=0_az=5,8.0,3.725321995013845e-15,0.8564195819394594,3.327498909697735e-08,0.1868634647220243,0.0062178797512487,18,23,hbo,False,S18_D23 hbo,mild_master_3,0.0129629778176225,
1463,645,az_itd=15_az=0,8.0,3.725321995013845e-15,0.7490661550510104,3.326989677391667e-08,0.3311121008266791,0.0110160654150983,18,23,hbo,False,S18_D23 hbo,mild_master_3,-0.0213485368812604,
1464,646,az_itd=5_az=0,8.0,3.725321995013845e-15,0.557343825215861,3.3263665417123143e-08,0.6122903454906236,0.0203670211905348,18,23,hbo,False,S18_D23 hbo,mild_master_3,0.0396546069077621,
1469,659,az_itd=0_az=15,8.0,2.256225379650359e-15,0.0044850328684375,4.218073070384798e-08,-3.9093690774444343,-0.1649000442776343,19,14,hbo,True,S19_D14 hbo,mild_master_3,0.0966315460525248,
