S,Channel,0,1,2,3
1,15,,,,
1,16,0.017565609468849077,0.005319791743729546,0.029889348362396984,0.010108439218745335
1,17,0.01556319970121669,0.011979299530958038,0.009854463142669521,0.0035375146562438065
1,18,0.02009605756062866,-0.002858232598574466,-0.0012815302891890379,-0.019436211829662778
1,19,0.017897339638898984,0.0013478806364835682,-0.011961818457021612,-0.005121748832991209
1,20,-3.140996911162506e-05,-0.010956100881864272,-0.005704859743935237,-0.010457150373027389
1,21,0.010303735625735418,-0.006313061368227496,0.008398151866785745,-0.00038246368407547334
1,22,,,,
1,23,0.005748070176295093,-0.018609759353297315,-0.017108504463962407,-0.021883597783672472
1,24,0.018360230868368434,-0.008995728279916198,-0.01295470337420779,-0.012514729213107095
1,25,,,,
1,26,,,,
1,27,,,,
1,28,,,,
1,29,,,,
1,30,,,,
1,31,,,,
1,32,,,,
1,33,,,,
1,34,-0.00882194873688135,-0.0111922968209172,-0.007894465219263054,-0.011561096798634709
1,35,-0.00805231531600061,-0.003932955897529263,-0.004163896804591044,-0.0034034858002590517
1,36,-0.001251953366701034,-0.008068649919224265,-0.001960632714863721,-0.01086132481253266
1,37,,,,
1,38,,,,
1,39,-0.03265666359050593,-0.03004520403185535,-0.02702448854319301,-0.027507433381931505
1,40,-0.009253977692262015,-0.019280389704379206,-0.021415676747444407,-0.02445856055056548
1,41,,,,
1,42,,,,
1,43,,,,
1,44,,,,
1,45,,,,
1,46,0.005963745261717162,-0.022826379677220413,-0.015621228757566063,-0.023002833599550236
1,47,,,,
1,48,-0.019006644234455552,-0.033022079775722364,-0.035234754898420366,-0.02381524940100157
1,49,,,,
1,50,0.008379171165122526,0.01316515415746863,0.006205043770613934,0.003343183206015632
1,51,-0.0027080181242031855,-0.00952899766890885,-0.003202357454075986,0.006469347304975664
1,52,,,,
1,53,,,,
1,54,-0.0009589998184806609,-0.004737103795570033,-0.009082423278482693,-0.01900081716324436
1,55,-0.03196201106461693,-0.04073486742898269,-0.03400407992440615,-0.04781578235764597
1,56,0.0043568327438728155,-0.004982253999713305,0.0039452800839169565,-0.010372956561755176
1,57,0.027537369492925356,0.021288094979023887,0.02935960711062514,0.017759361537638452
1,58,0.018559374901894972,0.0004709260689912191,0.010884737315819524,-0.00038304201583934535
1,59,,,,
1,60,0.03311671659498873,-0.003504957955140673,-0.0139101473473286,-0.00855461918599924
1,61,0.023644460948621115,-0.007165907771399484,-0.02453364709918493,-0.014130354255028382
1,62,,,,
1,63,0.022421421502362853,-0.01733105703524344,-0.021924786689522854,-0.012384090433014193
1,64,,,,
1,65,,,,
1,66,,,,
1,67,0.02023850051868553,3.3908729686154017e-05,-0.01121243659797767,-0.014986463702600221
1,68,0.001187203024885162,0.006989799568316758,-0.0006402745383952203,0.006615408849715708
1,69,-0.0013232548462843473,0.0026899592235311437,0.009320191723979146,-0.00238537116793925
1,70,0.020445076989619143,-0.024504235524661286,-0.03862193628562607,-0.01836838451985331
1,71,-0.0014176730676937624,0.0036693113986359283,-0.0015274449011343694,0.0016598182617365695
1,72,0.017921173387881042,-0.009472273288486847,-0.014142547819832901,-0.014915501174949448
1,73,0.0010383305564352632,0.0010629046415625552,-0.0035358766544302065,-0.003342658959351185
1,74,0.002205949756067257,0.007094124126927883,-0.00040174741984614205,-0.0019471173586540593
