# -*- coding: utf-8 -*-

# A datafile created by Gustav!
# 
# Experiment: mild-bici
# 
# Vocoded speech in spatially-separated speech or noise maskers.
# 
# $comments
# 

S,Trial,Date,Block,Condition,masker,Soundfile,Times
mild_bici_1,23,2025-03-29,23,5,side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0/11__side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0__l=gash-bash-gash-gash-gash-dash-dash-bash-gash-dash-bash-gash-dash-dash-gash-bash__r=gash-gash-dash-bash-dash-gash-dash-dash-dash-dash-gash-dash-gash-bash-gash-dash.wav,8441.088552951813
mild_bici_1,24,2025-03-29,24,4,side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0/11__side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0__l=dash-bash-dash-gash-gash-bash-dash-gash-dash-gash-dash-gash-gash-dash-gash-dash__r=gash-dash-gash-gash-gash-gash-gash-bash-dash-dash-bash-gash-dash-dash-bash-gash.wav,
mild_bici_1,25,2025-03-29,25,6,side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0/12__side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0__l=dash-gash-gash-gash-gash-dash-dash-bash-gash-gash-bash-gash-gash-gash-gash-gash__r=gash-dash-bash-dash-dash-bash-gash-dash-dash-gash-gash-dash-bash-gash-gash-bash.wav,5181.151172161102
mild_bici_1,26,2025-03-29,26,2,side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0/12__side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0__l=dash-bash-gash-gash-dash-dash-dash-dash-gash-dash-gash-gash-dash-bash-dash-bash__r=dash-gash-gash-dash-bash-gash-bash-dash-gash-gash-bash-dash-dash-gash-dash-gash.wav,
mild_bici_1,27,2025-03-29,27,4,side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0/12__side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0__l=dash-dash-gash-gash-bash-gash-gash-dash-dash-gash-dash-dash-dash-gash-gash-gash__r=dash-gash-bash-gash-dash-dash-bash-dash-bash-gash-dash-gash-bash-gash-dash-gash.wav,4579.048579692841
mild_bici_1,28,2025-03-29,28,1,side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0/12__side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0__l=gash-dash-dash-gash-dash-gash-dash-bash-dash-dash-dash-bash-dash-bash-gash-dash__r=gash-bash-dash-dash-gash-dash-dash-dash-gash-dash-dash-dash-gash-dash-gash-bash.wav,2067.2444887161255
mild_bici_1,29,2025-03-29,29,7,side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0/12__side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0__l=gash-dash-dash-gash-dash-dash-dash-dash-dash-gash-bash-gash-gash-gash-dash-dash__r=dash-dash-bash-gash-dash-dash-gash-dash-bash-gash-gash-gash-bash-gash-bash-dash.wav,7971.923820018768
mild_bici_1,30,2025-03-29,30,3,side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0/12__side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0__l=dash-bash-dash-bash-dash-dash-gash-gash-gash-dash-bash-dash-gash-gash-gash-dash__r=gash-dash-gash-gash-dash-dash-dash-gash-dash-gash-gash-gash-bash-gash-bash-dash.wav,
mild_bici_1,31,2025-03-29,31,5,side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0/12__side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0__l=dash-dash-dash-gash-gash-gash-gash-dash-dash-dash-bash-gash-dash-dash-dash-gash__r=dash-gash-gash-bash-gash-gash-dash-gash-bash-dash-gash-dash-bash-gash-bash-dash.wav,8206.0372672081
mild_bici_1,32,2025-03-29,32,8,side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0/12__side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0__l=gash-gash-dash-dash-dash-gash-gash-bash-gash-gash-dash-dash-bash-dash-dash-gash__r=dash-dash-bash-gash-dash-dash-dash-dash-dash-bash-dash-gash-dash-dash-bash-dash.wav,
mild_bici_1,33,2025-03-29,33,2,side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0/13__side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0__l=dash-gash-gash-gash-bash-dash-dash-dash-dash-dash-dash-dash-gash-dash-gash-gash__r=dash-bash-dash-dash-dash-gash-bash-gash-bash-gash-dash-dash-gash-bash-dash-gash.wav,
mild_bici_1,34,2025-03-29,34,4,side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0/13__side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0__l=gash-gash-gash-gash-dash-dash-dash-dash-gash-dash-dash-bash-gash-gash-dash-dash__r=gash-dash-bash-dash-dash-bash-gash-bash-dash-bash-dash-gash-dash-gash-dash-dash.wav,4980.378792285919
