# -*- coding: utf-8 -*-

# A datafile created by Gustav!
# 
# Experiment: mild-bici-color
# 
# Vocoded speech in spatially-separated speech or noise maskers.
# 
# $comments
# 

S,Trial,Date,Block,Condition,masker,Soundfile,Times
mild-bici-color-1_snr-4,47,2025-05-08,47,36,side=r_itd=0_az=20_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=20_mag=0_lpf=0/1_side=r_itd=0_az=20_mag=0_lpf=0.wav,9446.824126958847
mild-bici-color-1_snr-4,48,2025-05-08,48,31,side=r_itd=0_az=30_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=30_mag=0_lpf=0/1_side=r_itd=0_az=30_mag=0_lpf=0.wav,
mild-bici-color-1_snr-4,49,2025-05-08,49,26,side=l_itd=0_az=90_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=90_mag=1_lpf=0/1_side=l_itd=0_az=90_mag=1_lpf=0.wav,
mild-bici-color-1_snr-4,50,2025-05-08,50,3,side=r_itd=0_az=50_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=50_mag=1_lpf=0/1_side=r_itd=0_az=50_mag=1_lpf=0.wav,4742.051050901413,8463.876267910004
mild-bici-color-1_snr-4,51,2025-05-08,51,27,side=r_itd=0_az=60_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=60_mag=0_lpf=0/1_side=r_itd=0_az=60_mag=0_lpf=0.wav,
mild-bici-color-1_snr-4,52,2025-05-08,52,10,side=r_itd=0_az=70_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=70_mag=1_lpf=0/1_side=r_itd=0_az=70_mag=1_lpf=0.wav,5237.3770270347595,11973.32149195671
mild-bici-color-1_snr-4,53,2025-05-08,53,32,side=r_itd=0_az=40_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=40_mag=0_lpf=0/1_side=r_itd=0_az=40_mag=0_lpf=0.wav,
mild-bici-color-1_snr-4,54,2025-05-08,54,34,side=l_itd=0_az=90_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=90_mag=0_lpf=0/1_side=l_itd=0_az=90_mag=0_lpf=0.wav,
mild-bici-color-1_snr-4,55,2025-05-08,55,23,side=l_itd=0_az=10_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=10_mag=0_lpf=0/1_side=l_itd=0_az=10_mag=0_lpf=0.wav,10680.67420387268
mild-bici-color-1_snr-4,56,2025-05-08,56,20,side=r_itd=0_az=70_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=70_mag=0_lpf=0/1_side=r_itd=0_az=70_mag=0_lpf=0.wav,4100.746950984001,5459.94497191906,11523.146167993546
mild-bici-color-1_snr-4,57,2025-05-08,57,7,side=l_itd=0_az=20_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=20_mag=0_lpf=0/1_side=l_itd=0_az=20_mag=0_lpf=0.wav,
mild-bici-color-1_snr-4,58,2025-05-08,58,18,side=r_itd=0_az=30_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=30_mag=1_lpf=0/1_side=r_itd=0_az=30_mag=1_lpf=0.wav,
mild-bici-color-1_snr-4,59,2025-05-08,59,8,side=r_itd=0_az=60_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=60_mag=1_lpf=0/1_side=r_itd=0_az=60_mag=1_lpf=0.wav,3307.0274959802628,4554.905820965767,9402.972915887833
mild-bici-color-1_snr-4,60,2025-05-08,60,14,side=r_itd=0_az=90_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=90_mag=0_lpf=0/1_side=r_itd=0_az=90_mag=0_lpf=0.wav,3264.149999022484,4832.070505023003,6525.1992000341415,10024.218031048775
mild-bici-color-1_snr-4,61,2025-05-08,61,6,side=l_itd=0_az=80_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=80_mag=1_lpf=0/1_side=l_itd=0_az=80_mag=1_lpf=0.wav,
mild-bici-color-1_snr-4,62,2025-05-08,62,30,side=l_itd=0_az=60_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=60_mag=1_lpf=0/1_side=l_itd=0_az=60_mag=1_lpf=0.wav,
mild-bici-color-1_snr-4,63,2025-05-08,63,19,side=l_itd=0_az=50_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=50_mag=0_lpf=0/1_side=l_itd=0_az=50_mag=0_lpf=0.wav,
mild-bici-color-1_snr-4,64,2025-05-08,64,5,side=r_itd=0_az=90_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=90_mag=1_lpf=0/1_side=r_itd=0_az=90_mag=1_lpf=0.wav,6430.777786016464,7662.6808849573135,9766.681923985481
mild-bici-color-1_snr-4,65,2025-05-08,65,17,side=r_itd=0_az=10_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=10_mag=0_lpf=0/1_side=r_itd=0_az=10_mag=0_lpf=0.wav,12105.620012044907
